"ciudad","fecha","pp","ant_log","ant_op","prob","prob_corte","evento_log","Iop","umbral_op","evento_op"
"15894",2026-09-02,1.8,1.8,1.8,0.002,0.031,0,3.5,85.2,0
"15895",2026-09-02,1.5,26,10.9,0.001,0.036,0,12.4,310.6,0
"15896",2026-09-02,1.5,23.7,23.7,0.002,0.001,1,25.2,1.6,1
"15897",2026-09-02,1.2,17.4,7.7,0.002,0.001,1,8.9,0.2,1
"15898",2026-09-02,0.7,12.6,2.2,0.001,0.001,1,2.9,222.4,0
"15899",2026-09-02,0.3,6,0.9,0.001,0.04,0,1.2,110.7,0
"15900",2026-09-02,0.1,0.1,0.3,0.001,0.003,0,0.4,70.3,0
"15901",2026-09-02,0.1,0.2,0.2,0,0.027,0,0.2,32.8,0
"15903",2026-09-02,0.1,0.1,0.1,0.003,0.007,0,0.1,15.3,0
"15904",2026-09-02,0,0,0,0.001,0.011,0,0.1,42.8,0
"15905",2026-09-02,0,0,0,0.001,0.011,0,0,36.1,0
"15908",2026-09-02,0,4,4,0.001,0.001,1,4,0.1,1
"16022",2026-09-02,2.4,10.4,16.2,0.003,0.3,0,18.7,1.1,1
"16023",2026-09-02,3.1,7.8,20.3,0.003,0.105,0,23.5,2,1
"16024",2026-09-02,3.6,19.2,43.8,0.003,0.003,1,47.4,12,1
"16025",2026-09-02,4.6,23.1,46,0.003,0.003,1,50.6,10,1
"16103",2026-09-02,2.2,2.3,2.3,0.004,0.017,0,4.5,49.4,0
"16104",2026-09-02,1.8,1.9,1.9,0.002,0.025,0,3.6,62,0
"16105",2026-09-02,1.4,1.5,6.8,0.002,0.032,0,8.2,264.9,0
"16106",2026-09-02,1.3,1.4,16.6,0.002,0.346,0,17.9,5.2,1
"16107",2026-09-02,1.2,18.9,3.4,0.002,0.002,1,4.7,0.2,1
"16108",2026-09-02,1,1,2.5,0.002,0.004,0,3.5,174.5,0
"16109",2026-09-02,0.6,0.6,4.1,0.002,0.005,0,4.6,215.5,0
"16110",2026-09-02,0.3,0.4,0.7,0.001,0.017,0,0.9,133.1,0
"16111",2026-09-02,0.1,2.7,2.7,0.001,0.003,0,2.8,50.2,0
"16118",2026-09-02,0,0.2,0,0.001,0.001,1,0.1,106.1,0
"16120",2026-09-02,0,6.1,0,0.001,0.138,0,0,41.4,0
"16121",2026-09-02,0,0,0,0.001,0.647,0,0.1,32.5,0
"16224",2026-09-02,3.3,2.8,37,0.003,0.002,1,40.2,5.7,1
